District,Drought_Risk,Drought_Actions,Drought_Fallback_Crop,CASA_Pred_1yr,SW_Monsoon_Actual_mm,SW_Monsoon_Normal_mm,GW_Dep_Ratio
Kanniyakumari,MEDIUM,SW monsoon 33% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.5m.,Rice,5.5141597,330.4,494.7,0.2512003939754586
Karur,MEDIUM,SW monsoon -13% below normal. Recommend switching to Jowar for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.6m.,Jowar,5.6012025,227.3,201.6,0.8969140792163949
Krishnagiri,HIGH,SW monsoon -3% below normal with GW at 6.3m and 88% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,6.3379617,368.5,356.2,0.8838969859912268
Madurai,HIGH,SW monsoon -4% below normal with GW at 6.7m and 66% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,6.724132,306.8,296.1,0.6561978789690657
Mayiladuthurai,MEDIUM,SW monsoon 36% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 2.9m.,Rice,1.8695053,196.5,304.7,0.0
Nagapattinam,MEDIUM,SW monsoon 36% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 4.2m.,Rice,3.160557,157.7,246.6,0.0
Namakkal,HIGH,SW monsoon 10% below normal with GW at 9.8m and 90% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,9.767046,298.8,331.8,0.9045847121339027
Perambalur,HIGH,SW monsoon -7% below normal with GW at 8.6m and 100% groundwater dependency. Mandatory switch to Groundnut for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Groundnut,8.647104,297.4,277.8,1.0
Pudukkottai,MEDIUM,SW monsoon -1% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 7.4m.,Groundnut,6.418158,298.6,294.8,0.5337154530566764
Ramanathapuram,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Jowar.,Jowar,4.920556,93.0,132.1,0.1793598401114375
Ranipet,MEDIUM,SW monsoon -32% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.3m.,Groundnut,5.330246,582.8,441.7,0.9482203129794415
Salem,HIGH,SW monsoon 7% below normal with GW at 8.5m and 99% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,8.53322,379.6,406.4,0.9932239297844436
Sivaganga,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Groundnut,5.9223695,335.3,316.7,0.28675754625121713
Thanjavur,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Groundnut,3.6061983,322.4,302.8,0.3644808834415928
The nilgiris,MEDIUM,SW monsoon 8% below normal. Recommend switching to Maize for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 3.5m.,Maize,2.459411,773.0,842.4,0.9857308137292711
Theni,HIGH,SW monsoon -6% below normal with GW at 10.0m and 77% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Bajra,9.960292,253.0,237.9,0.7688032898810753
Thenkasi,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Jowar.,Jowar,5.355715,172.6,172.7,0.5560810608555093
Thiruvallur,MEDIUM,SW monsoon -59% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 5.9m.,Groundnut,4.862099,736.3,463.7,0.8872451299269052
Thiruvarur,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Rice.,Rice,3.547477,229.1,297.2,0.0
Thoothukudi,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Bajra.,Bajra,5.630916,56.4,67.3,0.512035243226029
Tiruchirappalli,HIGH,SW monsoon 2% below normal with GW at 8.4m and 75% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,8.415247,270.2,276.3,0.745566833802128
Tirunelveli,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Rice.,Rice,5.847971,208.9,92.5,0.4650698958240584
Tirupathur,HIGH,SW monsoon -14% below normal with GW at 6.8m and 100% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Bajra,6.764424,487.2,425.7,1.0
Tiruppur,HIGH,SW monsoon 53% below normal with GW at 8.3m and 77% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,8.269832,73.6,155.9,0.7661290322580645
Tiruvannamalai,HIGH,SW monsoon -39% below normal with GW at 6.5m and 94% groundwater dependency. Mandatory switch to Groundnut for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Groundnut,6.4905457,628.0,450.5,0.9436353857997026
Vellore,HIGH,SW monsoon -33% below normal with GW at 7.0m and 100% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,7.049131,573.6,431.3,0.9996809044080777
Villupuram,HIGH,SW monsoon -41% below normal with GW at 6.3m and 85% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Bajra,6.2637,556.1,395.0,0.848919242304166
Virudhunagar,MEDIUM,SW monsoon -22% below normal. Recommend switching to Jowar for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 8.4m.,Jowar,7.4102325,240.2,196.4,0.5491770090661033
